Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),mScarlet (EX),mScarlet (EM),mCherry (EX),mCherry (EM),tdTomato (EX),tdTomato (EM)
300,0.0,0.0,0.0,0.0,0.2614,0.0,0.1345,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.257982,0.0,0.21573599999999998,0.0,0.168552,0.0
301,0.0,0.0,0.0,0.0,0.2376,0.0,0.1196,0.0,0.0,0.0,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.233716,0.0,0.194162,0.0,0.147059,0.0
302,0.0,0.0,0.0,0.0,0.2161,0.0,0.10800000000000001,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.213282,0.0,0.17512699999999998,0.0,0.128959,0.0
303,0.0,0.0,0.0,0.0,0.1955,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.196679,0.0,0.158629,0.0,0.111991,0.0
304,0.0,0.0,0.5382,0.0,0.1766,0.0,0.0915,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.18135400000000002,0.0,0.14593899999999999,0.0,0.100679,0.0
305,0.0,0.0,0.5334,0.0,0.1602,0.0,0.0859,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.168582,0.0,0.13198000000000001,0.0,0.0893665,0.0
306,0.0,0.0,0.5286,0.0,0.1468,0.0,0.0813,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.154534,0.0,0.120558,0.0,0.0803167,0.0
307,0.0,0.0,0.5239,0.0,0.1355,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.144317,0.0,0.11167500000000001,0.0,0.07466060000000001,0.0
308,0.0,0.0,0.5191,0.0,0.1275,0.0,0.0767,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.135377,0.0,0.102792,0.0,0.0701357,0.0
309,0.0,0.0,0.5143,0.0,0.1183,0.0,0.0767,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.127714,0.0,0.09898480000000001,0.0,0.0690045,0.0
310,0.0,0.0,0.51,0.0,0.1123,0.0,0.0777,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.122605,0.0,0.0939086,0.0,0.06561089999999999,0.0
311,0.0,0.0,0.5123,0.0,0.1075,0.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.117497,0.0,0.0901015,0.0,0.0633484,0.0
312,0.0,0.0,0.5147,0.0,0.1015,0.0,0.0798,0.0,0.0,0.0,0.0,0.0,0.11699999999999999,0.0,0.0,0.0,0.0,0.0,0.114943,0.0,0.0862944,0.0,0.0644796,0.0
313,0.0,0.0,0.517,0.0,0.0972,0.0,0.0796,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0850254,0.0,0.0644796,0.0
314,0.0,0.0,0.5194,0.0,0.0937,0.0,0.0828,0.0,0.0,0.0,0.0,0.0,0.12300000000000001,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0850254,0.0,0.06561089999999999,0.0
315,0.0,0.0,0.5217,0.0,0.0912,0.0,0.0854,0.0,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0824873,0.0,0.0678733,0.0
316,0.0,0.0,0.5241,0.0,0.0874,0.0,0.0867,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.08121830000000001,0.0,0.0678733,0.0
317,0.0,0.0,0.5276,0.0,0.0842,0.0,0.0887,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0824873,0.0,0.0701357,0.0
318,0.0,0.0,0.5312,0.0,0.0823,0.0,0.0913,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.11238799999999999,0.0,0.0837563,0.0,0.0735294,0.0
319,0.0,0.0,0.5349,0.0,0.08,0.0,0.0934,0.0,0.0,0.0,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.113665,0.0,0.0850254,0.0,0.0757919,0.0
320,0.0,0.0,0.5387,0.0,0.0787,0.0,0.0954,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.03,0.0,0.114943,0.0,0.0850254,0.0,0.07805430000000001,0.0
321,0.0,0.0,0.5461,0.0,0.0766,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.14800000000000002,0.0,0.0,0.0,0.031,0.0,0.11877399999999999,0.0,0.0862944,0.0,0.07918549999999999,0.0
322,0.0,0.0,0.5535,0.0,0.0736,0.0,0.1007,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.031,0.0,0.120051,0.0,0.08756349999999999,0.0,0.0825792,0.0
323,0.0,0.0,0.5609,0.0,0.0733,0.0,0.1032,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.031,0.0,0.120051,0.0,0.0901015,0.0,0.08371039999999999,0.0
324,0.0,0.0,0.5684,0.0,0.0721,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.031,0.0,0.123883,0.0,0.0926396,0.0,0.08710410000000002,0.0
325,0.0,0.0,0.5758,0.0,0.0708,0.0,0.1096,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.031,0.0,0.12643700000000002,0.0,0.0951777,0.0,0.0893665,0.0
326,0.0,0.0,0.586,0.0,0.0685,0.0,0.1114,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.031,0.0,0.130268,0.0,0.09898480000000001,0.0,0.091629,0.0
327,0.0,0.0,0.6029,0.0,0.0675,0.0,0.1148,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.031,0.0,0.131545,0.0,0.101523,0.0,0.0938914,0.0
328,0.0,0.0,0.6198,0.0,0.0674,0.0,0.1156,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.032,0.0,0.135377,0.0,0.10533,0.0,0.0972851,0.0
329,0.0,0.0,0.6368,0.0,0.0649,0.0,0.1159,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.032,0.0,0.136654,0.0,0.10533,0.0,0.100679,0.0
330,0.0,0.0,0.6526,0.0,0.0639,0.0,0.1169,0.0,0.0,0.0,0.0,0.0,0.17600000000000002,0.0,0.0,0.0,0.033,0.0,0.139208,0.0,0.109137,0.0,0.104072,0.0
331,0.0,0.0,0.6684,0.0,0.0637,0.0,0.1165,0.0,0.0,0.0,0.0,0.0,0.16899999999999998,0.0,0.0,0.0,0.034,0.0,0.141762,0.0,0.109137,0.0,0.108597,0.0
332,0.0,0.0,0.6842,0.0,0.061,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.035,0.0,0.146871,0.0,0.11167500000000001,0.0,0.111991,0.0
333,0.0,0.0,0.7003,0.0,0.0615,0.0,0.1121,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.034,0.0,0.149425,0.0,0.11294399999999999,0.0,0.11651600000000001,0.0
334,0.0,0.0,0.7176,0.0,0.0618,0.0,0.1113,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.035,0.0,0.150702,0.0,0.11421300000000001,0.0,0.11991,0.0
335,0.0,0.0,0.735,0.0,0.0598,0.0,0.1063,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.037000000000000005,0.0,0.154534,0.0,0.11675100000000001,0.0,0.12104100000000001,0.0
336,0.0,0.0,0.7523,0.0,0.0603,0.0,0.1029,0.0,0.0,0.0,0.0,0.0,0.11199999999999999,0.0,0.0,0.0,0.038,0.0,0.159642,0.0,0.119289,0.0,0.123303,0.0
337,0.0,0.0,0.7668,0.0,0.0609,0.0,0.0992,0.0,0.0,0.0,0.0,0.0,0.10300000000000001,0.0,0.0,0.0,0.039,0.0,0.162197,0.0,0.123096,0.0,0.12556599999999998,0.0
338,0.0,0.0,0.7806,0.0,0.0592,0.0,0.0941,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.039,0.0,0.16730499999999998,0.0,0.125635,0.0,0.123303,0.0
339,0.0,0.0,0.7945,0.0,0.0596,0.0,0.0905,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.04,0.0,0.16730499999999998,0.0,0.130711,0.0,0.11991,0.0
340,0.0,0.0,0.8083,0.0,0.0604,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.17241399999999998,0.0,0.135787,0.0,0.117647,0.0
341,0.0,0.0,0.8229,0.0,0.0596,0.0,0.08199999999999999,0.0,0.0,0.0,0.0,0.0,0.07400000000000001,0.0,0.0,0.0,0.040999999999999995,0.0,0.171137,0.0,0.139594,0.0,0.11085999999999999,0.0
342,0.0,0.0,0.838,0.0,0.0597,0.0,0.0777,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.040999999999999995,0.0,0.168582,0.0,0.14467,0.0,0.107466,0.0
343,0.0,0.0,0.8532,0.0,0.06,0.0,0.0732,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.042,0.0,0.16602799999999998,0.0,0.148477,0.0,0.10181000000000001,0.0
344,0.0,0.0,0.8683,0.0,0.0602,0.0,0.0704,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.043,0.0,0.16091999999999998,0.0,0.151015,0.0,0.0950226,0.0
345,0.0,0.0,0.8855,0.0,0.0614,0.0,0.0658,0.0,0.0,0.0,0.0,0.0,0.057999999999999996,0.0,0.0,0.0,0.044000000000000004,0.0,0.155811,0.0,0.153553,0.0,0.0904977,0.0
346,0.0,0.0,0.9035,0.0,0.0618,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,0.0,0.0,0.0,0.044000000000000004,0.0,0.149425,0.0,0.152284,0.0,0.0859728,0.0
347,0.0,0.0,0.9214,0.0,0.0616,0.0,0.0591,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.044000000000000004,0.0,0.145594,0.0,0.148477,0.0,0.0825792,0.0
348,0.0,0.0,0.9299,0.0,0.0615,0.0,0.0555,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.046,0.0,0.137931,0.0,0.140863,0.0,0.07692310000000001,0.0
349,0.0,0.0,0.9371,0.0,0.0612,0.0,0.0533,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.046,0.0,0.132822,0.0,0.135787,0.0,0.0735294,0.0
350,0.0,0.0,0.9493,0.0,0.0626,0.0,0.0506,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.047,0.0,0.127714,0.0,0.12690400000000002,0.0,0.071267,0.0
351,0.0713,0.0,0.9669,0.0,0.0622,0.0,0.0482,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.049,0.0,0.122605,0.0,0.121827,0.0,0.0667421,0.0
352,0.0661,0.0,0.9844,0.0,0.0652,0.0,0.0446,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.05,0.0,0.120051,0.0,0.11421300000000001,0.0,0.06561089999999999,0.0
353,0.0614,0.0,0.9951,0.0,0.0706,0.0,0.0424,0.0,0.0,0.0,0.0,0.0,0.040999999999999995,0.0,0.0,0.0,0.05,0.0,0.114943,0.0,0.109137,0.0,0.061086,0.0
354,0.0585,0.0,1.0,0.0,0.0681,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.051,0.0,0.111111,0.0,0.102792,0.0,0.0588235,0.0
355,0.057,0.0,0.9966,0.0,0.0685,0.0,0.0378,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.052000000000000005,0.0,0.108557,0.0,0.09898480000000001,0.0,0.0576923,0.0
356,0.0555,0.0,0.9932,0.0,0.071,0.0,0.0357,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.053,0.0,0.10600300000000001,0.0,0.0964467,0.0,0.055429900000000004,0.0
357,0.0543,0.0,0.9905,0.0,0.07400000000000001,0.0,0.0331,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.053,0.0,0.103448,0.0,0.0926396,0.0,0.054298599999999995,0.0
358,0.0543,0.0,0.9884,0.0,0.0759,0.0,0.0305,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.055,0.0,0.102171,0.0,0.0901015,0.0,0.0520362,0.0
359,0.0536,0.0,0.9864,0.0,0.0778,0.0,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,0.054000000000000006,0.0,0.0996169,0.0,0.08883250000000001,0.0,0.048642500000000005,0.0
360,0.0526,0.0,0.9835,0.0,0.0785,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.0,0.054000000000000006,0.0,0.09833969999999999,0.0,0.08756349999999999,0.0,0.048642500000000005,0.0
361,0.051,0.0,0.9797,0.0,0.08199999999999999,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.055,0.0,0.0945083,0.0,0.0850254,0.0,0.046380099999999994,0.0
362,0.0495,0.0,0.9759,0.0,0.0828,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.022000000000000002,0.0,0.0,0.0,0.055999999999999994,0.0,0.0932312,0.0,0.0837563,0.0,0.0441176,0.0
