Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
0,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
1,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
2,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
3,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
4,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
5,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
6,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
7,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
8,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
9,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
10,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
11,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
12,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
13,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
14,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
15,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
16,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
17,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
18,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
19,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
20,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
21,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
22,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
23,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
24,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
25,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
26,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
27,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
28,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
29,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
30,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
31,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
32,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
33,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
34,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
35,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
36,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
37,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
38,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
39,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
40,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
41,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
42,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
43,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
44,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
45,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
46,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
47,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
48,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
49,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
50,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
51,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
52,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
53,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
54,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
55,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
56,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
57,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
58,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
59,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
60,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
61,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
62,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
63,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
64,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
65,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
66,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
67,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
68,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
69,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
70,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
71,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
72,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
73,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
74,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
75,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
76,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
77,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
78,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
79,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
80,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
81,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
82,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
83,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
84,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
85,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
86,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
87,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
88,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
89,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
90,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
91,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
92,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
93,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
94,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
95,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
96,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
97,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
98,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
99,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
100,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
101,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
102,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
103,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
104,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
105,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
106,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
107,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
108,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
109,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
110,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
111,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
112,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
113,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
114,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
115,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
116,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
117,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
118,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
119,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
120,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
121,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
122,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
123,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
124,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
125,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
126,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
127,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
128,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
129,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
130,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
131,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
132,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
133,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
134,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
135,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
136,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
137,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
138,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
139,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
140,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
141,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
142,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
143,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
144,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
145,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
146,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
147,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
148,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
149,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
150,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
151,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
152,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
153,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
154,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
155,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
156,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
157,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
158,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
159,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
160,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
161,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
162,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
163,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
164,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
165,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
166,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
167,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
168,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
169,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
170,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
171,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
172,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
173,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
174,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
175,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
176,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
177,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
178,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
179,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
180,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
181,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
182,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
183,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
184,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
185,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
186,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
187,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
188,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
189,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
190,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
191,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
192,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
193,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
194,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
195,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
196,0,Cerulean,Violet,B,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,
197,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
198,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
199,0,DsRed2,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
