Exitation wavelength (nm);normalized Exitation;emission wavelength (nm);Normalized emission;
300;0.0008;490;0.0055;
301;0.0916;491;0.0067;
302;0.0848;492;0.0078;
303;0.0804;493;0.0097;
304;0.0762;494;0.0120;
305;0.0709;495;0.0149;
306;0.0676;496;0.0189;
307;0.0645;497;0.0244;
308;0.0608;498;0.0306;
309;0.0585;499;0.0383;
310;0.0567;500;0.0474;
311;0.0543;501;0.0586;
312;0.0532;502;0.0717;
313;0.0523;503;0.0878;
314;0.0518;504;0.1065;
315;0.0515;505;0.1278;
316;0.0513;506;0.1549;
317;0.0513;507;0.1838;
318;0.0514;508;0.2162;
319;0.0518;509;0.2539;
320;0.0521;510;0.2936;
321;0.0531;511;0.3366;
322;0.0547;512;0.3826;
323;0.0584;513;0.4316;
324;0.0616;514;0.4831;
325;0.0654;515;0.5372;
326;0.0719;516;0.5950;
327;0.0769;517;0.6472;
328;0.0821;518;0.6989;
329;0.0886;519;0.7441;
330;0.0920;520;0.7929;
331;0.0932;521;0.8388;
332;0.0916;522;0.8785;
333;0.0878;523;0.9166;
334;0.0829;524;0.9428;
335;0.0750;525;0.9619;
336;0.0688;526;0.9812;
337;0.0627;527;0.9925;
338;0.0550;528;0.9973;
339;0.0499;529;1.0000;
340;0.0454;530;0.9927;
341;0.0391;531;0.9858;
342;0.0352;532;0.9692;
343;0.0319;533;0.9493;
344;0.0280;534;0.9311;
345;0.0254;535;0.9064;
346;0.0231;536;0.8786;
347;0.0204;537;0.8521;
348;0.0189;538;0.8217;
349;0.0177;539;0.7957;
350;0.0159;540;0.7679;
351;0.0152;541;0.7390;
352;0.0145;542;0.7092;
353;0.0135;543;0.6821;
354;0.0130;544;0.6560;
355;0.0129;545;0.6292;
356;0.0129;546;0.6016;
357;0.0126;547;0.5762;
358;0.0124;548;0.5531;
359;0.0125;549;0.5302;
360;0.0123;550;0.5096;
361;0.0124;551;0.4877;
362;0.0128;552;0.4696;
363;0.0130;553;0.4506;
364;0.0134;554;0.4334;
365;0.0139;555;0.4185;
366;0.0140;556;0.4036;
367;0.0144;557;0.3894;
368;0.0152;558;0.3766;
369;0.0156;559;0.3658;
370;0.0159;560;0.3533;
371;0.0168;561;0.3432;
372;0.0170;562;0.3337;
373;0.0170;563;0.3241;
374;0.0177;564;0.3152;
375;0.0179;565;0.3069;
376;0.0183;566;0.2983;
377;0.0186;567;0.2913;
378;0.0186;568;0.2836;
379;0.0186;569;0.2751;
380;0.0186;570;0.2696;
381;0.0186;571;0.2621;
382;0.0184;572;0.2542;
383;0.0182;573;0.2473;
384;0.0182;574;0.2401;
385;0.0180;575;0.2319;
386;0.0178;576;0.2246;
387;0.0172;577;0.2188;
388;0.0166;578;0.2116;
389;0.0162;579;0.2044;
390;0.0158;580;0.1971;
391;0.0156;581;0.1894;
392;0.0148;582;0.1828;
393;0.0144;583;0.1748;
394;0.0140;584;0.1693;
395;0.0137;585;0.1622;
396;0.0134;586;0.1560;
397;0.0132;587;0.1486;
398;0.0134;588;0.1429;
399;0.0131;589;0.1367;
400;0.0132;590;0.1321;
401;0.0131;591;0.1266;
402;0.0130;592;0.1206;
403;0.0128;593;0.1165;
404;0.0128;594;0.1116;
405;0.0125;595;0.1065;
406;0.0124;596;0.1028;
407;0.0124;597;0.0980;
408;0.0124;598;0.0943;
409;0.0123;599;0.0898;
410;0.0123;600;0.0863;
411;0.0124;601;0.0828;
412;0.0124;602;0.0798;
413;0.0125;603;0.0762;
414;0.0125;604;0.0729;
415;0.0124;605;0.0698;
416;0.0126;606;0.0674;
417;0.0126;607;0.0649;
418;0.0129;608;0.0620;
419;0.0131;609;0.0597;
420;0.0134;610;0.0576;
421;0.0139;611;0.0550;
422;0.0146;612;0.0535;
423;0.0151;613;0.0518;
424;0.0157;614;0.0499;
425;0.0166;615;0.0477;
426;0.0175;616;0.0467;
427;0.0185;617;0.0452;
428;0.0201;618;0.0437;
429;0.0215;619;0.0422;
430;0.0228;620;0.0407;
431;0.0249;621;0.0394;
432;0.0267;622;0.0382;
433;0.0285;623;0.0370;
434;0.0310;624;0.0358;
435;0.0331;625;0.0344;
436;0.0351;626;0.0333;
437;0.0380;627;0.0321;
438;0.0404;628;0.0306;
439;0.0426;629;0.0297;
440;0.0456;630;0.0286;
441;0.0482;631;0.0275;
442;0.0507;632;0.0270;
443;0.0538;633;0.0256;
444;0.0563;634;0.0248;
445;0.0589;635;0.0240;
446;0.0628;636;0.0235;
447;0.0658;637;0.0225;
448;0.0688;638;0.0222;
449;0.0729;639;0.0212;
450;0.0763;640;0.0205;
451;0.0799;641;0.0202;
452;0.0850;642;0.0191;
453;0.0894;643;0.0186;
454;0.0941;644;0.0183;
455;0.1011;645;0.0175;
456;0.1067;646;0.0171;
457;0.1130;647;0.0161;
458;0.1224;648;0.0160;
459;0.1299;649;0.0156;
460;0.1379;650;0.0147;
461;0.1494;;;
462;0.1585;;;
463;0.1681;;;
464;0.1819;;;
465;0.1924;;;
466;0.2030;;;
467;0.2179;;;
468;0.2287;;;
469;0.2392;;;
470;0.2531;;;
471;0.2628;;;
472;0.2719;;;
473;0.2833;;;
474;0.2912;;;
475;0.2985;;;
476;0.3076;;;
477;0.3139;;;
478;0.3201;;;
479;0.3284;;;
480;0.3350;;;
481;0.3422;;;
482;0.3533;;;
483;0.3626;;;
484;0.3731;;;
485;0.3892;;;
486;0.4028;;;
487;0.4181;;;
488;0.4417;;;
489;0.4612;;;
490;0.4829;;;
491;0.5155;;;
492;0.5414;;;
493;0.5695;;;
494;0.6108;;;
495;0.6425;;;
496;0.6754;;;
497;0.7218;;;
498;0.7561;;;
499;0.7906;;;
500;0.8372;;;
501;0.8700;;;
502;0.9006;;;
503;0.9382;;;
504;0.9610;;;
505;0.9791;;;
506;0.9951;;;
507;1.0000;;;
508;0.9988;;;
509;0.9865;;;
510;0.9698;;;
511;0.9464;;;
512;0.9042;;;
513;0.8665;;;
514;0.8243;;;
515;0.7602;;;
516;0.7103;;;
517;0.6591;;;
518;0.5873;;;
519;0.5356;;;
520;0.4866;;;
521;0.4233;;;
522;0.3806;;;
523;0.3406;;;
524;0.2904;;;
525;0.2573;;;
526;0.2271;;;
527;0.1900;;;
528;0.1662;;;
529;0.1450;;;
530;0.1195;;;
531;0.1035;;;
532;0.0894;;;
533;0.0728;;;
534;0.0624;;;
535;0.0536;;;
536;0.0432;;;
537;0.0368;;;
538;0.0314;;;
539;0.0252;;;
540;0.0215;;;
541;0.0183;;;
542;0.0148;;;
543;0.0128;;;
544;0.0110;;;
545;0.0090;;;
546;0.0077;;;
547;0.0067;;;
548;0.0056;;;
549;0.0049;;;
550;0.0044;;;
551;0.0039;;;
552;0.0036;;;
553;0.0033;;;
554;0.0029;;;
555;0.0028;;;
556;0.0027;;;
557;0.0026;;;
558;0.0023;;;
559;0.0022;;;
560;0.0020;;;
561;0.0017;;;
562;0.0015;;;
563;0.0015;;;
564;0.0012;;;
565;0.0010;;;
566;0.0007;;;
567;0.0005;;;
568;0.0004;;;
569;0.0004;;;
570;0.0004;;;
571;0.0005;;;
572;0.0007;;;
573;0.0008;;;
574;0.0010;;;
575;0.0012;;;
576;0.0013;;;
577;0.0015;;;
578;0.0018;;;
579;0.0020;;;
580;0.0020;;;
581;0.0021;;;
582;0.0021;;;
583;0.0022;;;
584;0.0022;;;
585;0.0022;;;
586;0.0021;;;
587;0.0021;;;
588;0.0021;;;
589;0.0020;;;
590;0.0017;;;
591;0.0015;;;
592;0.0013;;;
593;0.0013;;;
594;0.0013;;;
595;0.0010;;;
596;0.0007;;;
597;0.0006;;;
598;0.0006;;;
599;0.0006;;;
